GeneNames,log2FC,p-value
LOC_Os07g41710.2,-2.232660757,2.35E-05
LOC_Os01g13760.1,-1.196800707,2.41E-05
LOC_Os03g63040.1,2,2.48E-05
LOC_Os02g08490.1,2,2.48E-05
LOC_Os02g13840.1,0.572578776,2.53E-05
LOC_Os07g31340.1,0.785261151,2.53E-05
LOC_Os08g34720.1,0.811927652,2.65E-05
LOC_Os02g41590.1,0.731511164,2.80E-05
LOC_Os03g53270.1,1.222392421,3.02E-05
LOC_Os03g17070.1,-1.419903254,3.06E-05
LOC_Os04g37690.1,-2.027480736,3.09E-05
LOC_Os02g30900.1,2.459431619,3.69E-05
LOC_Os08g36320.3,2.459431619,3.69E-05
LOC_Os03g16000.1,2.459431619,3.69E-05
LOC_Os02g53400.1,-3.222392421,3.71E-05
LOC_Os07g12340.1,3.169925001,3.90E-05
LOC_Os05g43240.2,3.169925001,3.90E-05
LOC_Os03g27019.6,3.169925001,3.90E-05
LOC_Os05g08810.1,2.263034406,3.92E-05
LOC_Os01g11054.1,0.394531844,3.94E-05
LOC_Os06g45840.1,1.857980995,4.04E-05
LOC_Os02g49570.1,-1.94753258,4.31E-05
LOC_Os08g29150.1,1.94753258,4.41E-05
LOC_Os04g51300.1,-3.64385619,4.57E-05
LOC_Os01g16430.1,1.584962501,5.48E-05
LOC_Os02g33500.1,1.584962501,5.48E-05
LOC_Os05g04360.1,2.736965594,5.77E-05
LOC_Os11g38260.1,2.736965594,5.77E-05
LOC_Os07g44740.1,2.736965594,5.77E-05
LOC_Os03g27950.1,2.736965594,5.77E-05
LOC_Os10g39930.2,-2.222392421,6.05E-05
LOC_Os12g34094.1,-2.256339753,6.15E-05
LOC_Os01g68770.1,1.678071905,6.14E-05
LOC_Os08g02120.1,-3.169925001,6.29E-05
LOC_Os04g16770.1,-3.169925001,6.29E-05
LOC_Os05g29990.1,-1.920565533,6.44E-05
LOC_Os12g33958.1,-1.459431619,6.63E-05
LOC_Os11g06890.1,0.571156701,6.76E-05
LOC_Os04g48050.1,1.469485283,6.81E-05
LOC_Os01g70940.1,1.807354922,7.00E-05
LOC_Os07g49330.3,1.807354922,7.00E-05
LOC_Os01g40280.2,2.392317423,6.96E-05
LOC_Os11g17930.1,2.392317423,6.96E-05
LOC_Os11g01380.1,0.310642287,7.30E-05
LOC_Os06g06030.1,1.091147888,7.38E-05
LOC_Os03g41080.1,1.091147888,7.38E-05
LOC_Os07g25430.1,-1.26052755,7.50E-05
LOC_Os03g31839.1,2.058893689,7.48E-05
LOC_Os06g49530.1,2.058893689,7.48E-05
LOC_Os03g16860.1,0.974909019,7.47E-05
LOC_Os06g04510.2,-1.106199404,7.60E-05
LOC_Os03g42820.2,1.502500341,7.77E-05
LOC_Os02g53420.1,1.502500341,7.77E-05
LOC_Os01g62870.1,3.087462841,7.74E-05
LOC_Os07g46700.1,3.087462841,7.74E-05
LOC_Os01g62760.1,3.087462841,7.74E-05
LOC_Os05g33730.1,1.893084796,7.82E-05
