GeneNames,log2FC,p-value
LOC_Os01g63820.2,-0.893084796,0.501429804
LOC_Os01g36890.2,-0.893084796,0.501429804
LOC_Os06g06980.3,-0.893084796,0.501429804
LOC_Os06g43840.1,-0.893084796,0.501429804
LOC_Os02g55340.1,-0.099535674,0.599330744
LOC_Os01g08970.2,-0.099535674,0.599330744
LOC_Os02g48560.1,-0.543142325,0.318891955
LOC_Os08g04280.2,0.152003093,0.332548055
LOC_Os03g20300.2,0.152003093,0.332548055
LOC_Os03g12550.2,0.152003093,0.332548055
LOC_Os06g44230.1,0.152003093,0.332548055
LOC_Os01g13740.2,0.152003093,0.332548055
LOC_Os12g39620.3,0.152003093,0.332548055
LOC_Os03g08010.1,-0.058893689,0.319541586
LOC_Os02g46520.1,0.321928095,0.333256618
LOC_Os07g12530.1,0.321928095,0.333256618
LOC_Os04g47370.2,0.321928095,0.333256618
LOC_Os08g40530.2,0.321928095,0.333256618
LOC_Os08g41300.1,-0.056583528,0.574438079
LOC_Os03g11570.1,0,0.575079876
LOC_Os02g15660.1,0,0.575079876
LOC_Os05g46560.2,0,0.575079876
LOC_Os02g58620.1,0,0.575079876
LOC_Os07g07270.1,0,0.575079876
LOC_Os03g19930.4,0,0.575079876
LOC_Os03g46710.1,0,0.575079876
LOC_Os05g08980.1,0,0.575079876
LOC_Os02g54500.1,0,0.575079876
LOC_Os10g12354.1,0,0.575079876
LOC_Os02g04040.1,-0.621488377,0.602142596
LOC_Os09g35730.1,-0.621488377,0.602142596
LOC_Os12g42300.1,-0.621488377,0.602142596
LOC_Os03g11470.1,-0.621488377,0.602142596
LOC_Os04g59130.1,-0.823122238,0.320040101
LOC_Os09g24690.1,-0.823122238,0.320040101
LOC_Os02g47180.2,-0.823122238,0.320040101
LOC_Os03g11050.1,-0.823122238,0.320040101
LOC_Os01g47770.2,1,0.589760571
LOC_Os08g01980.1,1,0.589760571
LOC_Os08g14490.1,1,0.589760571
LOC_Os02g57030.1,1,0.589760571
LOC_Os06g44910.1,1,0.589760571
LOC_Os12g16520.1,1,0.589760571
LOC_Os05g24000.1,1,0.589760571
LOC_Os12g01240.1,1,0.589760571
LOC_Os05g43390.1,1,0.589760571
LOC_Os01g63980.1,1,0.589760571
LOC_Os05g41070.1,1,0.589760571
LOC_Os04g40130.1,1,0.589760571
LOC_Os06g49030.1,1,0.589760571
LOC_Os09g36270.1,1,0.589760571
LOC_Os01g07730.1,1,0.589760571
LOC_Os01g55820.1,1,0.589760571
LOC_Os01g46810.1,1,0.589760571
LOC_Os04g01520.1,1,0.589760571
LOC_Os03g59760.2,1,0.589760571
LOC_Os07g44040.1,1,0.589760571
LOC_Os05g04180.1,1,0.589760571
LOC_Os07g28280.1,1,0.589760571
LOC_Os02g04520.2,1,0.589760571
LOC_Os05g41660.1,1,0.589760571
LOC_Os07g32020.1,1,0.589760571
LOC_Os05g51790.2,1,0.589760571
LOC_Os07g31550.1,1,0.589760571
LOC_Os03g01960.1,1,0.589760571
LOC_Os01g64190.1,1,0.589760571
LOC_Os05g01500.1,1,0.589760571
LOC_Os01g60010.1,1,0.589760571
LOC_Os11g28980.1,1,0.589760571
LOC_Os03g08100.1,1,0.589760571
LOC_Os07g05550.1,1,0.589760571
LOC_Os01g12381.1,1,0.589760571
LOC_Os11g29230.1,1,0.589760571
LOC_Os05g43790.2,1,0.589760571
LOC_Os02g53780.1,1,0.589760571
LOC_Os05g22718.1,1,0.589760571
LOC_Os01g14440.1,1,0.589760571
LOC_Os02g44102.1,1,0.589760571
LOC_Os01g12800.1,1,0.589760571
LOC_Os12g39210.1,1,0.589760571
LOC_Os01g48920.1,1,0.589760571
LOC_Os11g39650.1,1,0.589760571
LOC_Os01g49930.1,1,0.589760571
LOC_Os04g33440.2,1,0.589760571
LOC_Os07g06990.1,1,0.589760571
LOC_Os01g07500.1,1,0.589760571
LOC_Os10g38580.1,1,0.589760571
LOC_Os07g07620.1,1,0.589760571
LOC_Os08g13320.1,1,0.589760571
LOC_Os01g01840.1,1,0.589760571
LOC_Os03g26044.1,1,0.589760571
LOC_Os01g56560.1,1,0.589760571
LOC_Os06g45660.1,1,0.589760571
LOC_Os09g24540.1,1,0.589760571
LOC_Os05g46395.1,1,0.589760571
LOC_Os06g46940.1,1,0.589760571
LOC_Os06g19690.1,1,0.589760571
LOC_Os01g59730.1,1,0.589760571
LOC_Os04g53214.1,1,0.589760571
LOC_Os03g18680.1,1,0.589760571
LOC_Os12g44370.1,1,0.589760571
LOC_Os08g04780.1,1,0.589760571
LOC_Os04g46100.1,1,0.589760571
LOC_Os02g09430.1,1,0.589760571
LOC_Os05g36930.2,1,0.589760571
LOC_Os12g32284.1,1,0.589760571
LOC_Os01g53420.1,1,0.589760571
LOC_Os07g13230.1,1,0.589760571
LOC_Os05g40780.1,1,0.589760571
LOC_Os06g07760.1,1,0.589760571
LOC_Os08g41840.1,1,0.589760571
LOC_Os09g35900.1,1,0.589760571
LOC_Os02g45310.1,1,0.589760571
LOC_Os12g38880.1,1,0.589760571
LOC_Os01g08814.3,1,0.589760571
LOC_Os01g53280.2,1,0.589760571
LOC_Os03g45720.1,1,0.589760571
LOC_Os08g38410.2,1,0.589760571
LOC_Os10g17680.1,1,0.589760571
LOC_Os07g17040.1,1,0.589760571
LOC_Os06g04380.1,1,0.589760571
LOC_Os10g37340.1,1,0.589760571
LOC_Os10g11340.1,1,0.589760571
LOC_Os03g25430.1,1,0.589760571
LOC_Os07g23790.2,1,0.589760571
LOC_Os02g09120.1,1,0.589760571
LOC_Os09g39660.2,1,0.589760571
LOC_Os10g38214.1,1,0.589760571
LOC_Os04g34930.1,1,0.589760571
LOC_Os02g35110.1,1,0.589760571
LOC_Os01g13540.1,1,0.589760571
LOC_Os03g11580.1,1,0.589760571
LOC_Os03g12710.1,1,0.589760571
LOC_Os03g15230.1,1,0.589760571
LOC_Os06g29650.1,1,0.589760571
LOC_Os06g17290.1,1,0.589760571
LOC_Os06g45280.1,1,0.589760571
LOC_Os10g21418.1,1,0.589760571
LOC_Os11g39640.1,1,0.589760571
LOC_Os03g09900.1,1,0.589760571
LOC_Os10g21590.1,1,0.589760571
LOC_Os04g42770.2,1,0.589760571
LOC_Os09g30474.1,1,0.589760571
LOC_Os07g46320.1,1,0.589760571
LOC_Os11g11130.1,1,0.589760571
LOC_Os03g36790.2,1,0.589760571
LOC_Os03g50490.1,1,0.589760571
LOC_Os02g56840.1,1,0.589760571
LOC_Os03g14400.1,1,0.589760571
LOC_Os07g36410.1,1,0.589760571
LOC_Os07g12140.1,1,0.589760571
LOC_Os04g49920.1,1,0.589760571
LOC_Os01g37980.1,1,0.589760571
LOC_Os10g34370.1,1,0.589760571
LOC_Os02g44132.2,1,0.589760571
LOC_Os01g61350.1,1,0.589760571
LOC_Os05g02640.1,1,0.589760571
LOC_Os01g51280.1,1,0.589760571
LOC_Os02g39840.3,1,0.589760571
LOC_Os12g41090.1,1,0.589760571
LOC_Os02g47450.1,1,0.589760571
LOC_Os07g34610.1,1,0.589760571
LOC_Os06g43090.1,1,0.589760571
LOC_Os01g06680.1,1,0.589760571
LOC_Os10g33620.1,1,0.589760571
LOC_Os11g17610.1,1,0.589760571
LOC_Os08g06020.1,1,0.589760571
LOC_Os05g23550.1,1,0.589760571
LOC_Os05g48590.1,1,0.589760571
LOC_Os09g38110.1,1,0.589760571
LOC_Os09g20240.2,1,0.589760571
LOC_Os01g37920.1,1,0.589760571
LOC_Os03g17920.1,1,0.589760571
LOC_Os01g09100.1,1,0.589760571
LOC_Os01g73234.2,1,0.589760571
LOC_Os01g59670.1,1,0.589760571
LOC_Os12g42970.1,1,0.589760571
LOC_Os01g72570.3,1,0.589760571
LOC_Os03g18310.1,1,0.589760571
LOC_Os01g65350.1,1,0.589760571
LOC_Os12g10670.1,1,0.589760571
LOC_Os07g07580.2,1,0.589760571
LOC_Os01g39134.1,1,0.589760571
LOC_Os01g07410.1,1,0.589760571
LOC_Os01g70730.1,1,0.589760571
LOC_Os02g56300.1,1,0.589760571
LOC_Os11g34310.1,1,0.589760571
LOC_Os03g64350.1,1,0.589760571
LOC_Os05g41530.1,1,0.589760571
LOC_Os01g72520.1,1,0.589760571
LOC_Os03g11360.1,1,0.589760571
LOC_Os05g06260.1,1,0.589760571
LOC_Os03g03930.1,1,0.589760571
LOC_Os11g40540.1,1,0.589760571
LOC_Os12g06100.2,1,0.589760571
LOC_Os04g52361.1,1,0.589760571
LOC_Os01g56190.1,1,0.589760571
LOC_Os03g56540.3,1,0.589760571
LOC_Os02g16660.1,1,0.589760571
LOC_Os02g08380.1,1,0.589760571
LOC_Os06g37620.1,1,0.589760571
LOC_Os03g04690.1,1,0.589760571
LOC_Os02g53230.1,1,0.589760571
LOC_Os06g37420.2,1,0.589760571
LOC_Os08g12850.1,1,0.589760571
LOC_Os01g12660.1,1,0.589760571
LOC_Os11g02150.1,1,0.589760571
LOC_Os05g03050.1,1,0.589760571
LOC_Os05g28840.1,1,0.589760571
LOC_Os10g21326.1,1,0.589760571
LOC_Os11g01780.1,1,0.589760571
LOC_Os03g09270.1,1,0.589760571
LOC_Os01g54784.1,1,0.589760571
LOC_Os03g02480.1,1,0.589760571
LOC_Os03g54880.1,1,0.589760571
LOC_Os07g17130.1,1,0.589760571
LOC_Os05g37410.1,1,0.589760571
LOC_Os02g26560.1,1,0.589760571
LOC_Os09g38720.1,1,0.589760571
LOC_Os02g51150.1,1,0.589760571
LOC_Os03g37260.1,1,0.589760571
LOC_Os05g37170.5,1,0.589760571
LOC_Os05g09440.1,1,0.589760571
LOC_Os04g24520.1,1,0.589760571
LOC_Os08g12430.1,1,0.589760571
LOC_Os07g07070.1,1,0.589760571
LOC_Os04g27060.1,1,0.589760571
LOC_Os05g40290.1,1,0.589760571
LOC_Os05g35580.1,1,0.589760571
LOC_Os02g38170.1,1,0.589760571
LOC_Os03g10390.1,1,0.589760571
LOC_Os10g34840.1,1,0.589760571
LOC_Os01g10610.1,1,0.589760571
LOC_Os11g03550.1,1,0.589760571
LOC_Os04g54350.1,1,0.589760571
LOC_Os11g36340.1,1,0.589760571
LOC_Os04g48310.1,1,0.589760571
LOC_Os05g29880.2,1,0.589760571
LOC_Os09g27940.1,1,0.589760571
LOC_Os03g22550.1,1,0.589760571
LOC_Os02g20310.1,1,0.589760571
LOC_Os03g53490.1,1,0.589760571
LOC_Os03g18010.1,1,0.589760571
LOC_Os02g44290.1,1,0.589760571
LOC_Os01g42690.1,1,0.589760571
LOC_Os01g62820.2,1,0.589760571
LOC_Os10g42299.2,1,0.589760571
LOC_Os11g02660.2,1,0.589760571
LOC_Os04g53700.1,1,0.589760571
LOC_Os09g36250.1,1,0.589760571
LOC_Os02g17520.1,1,0.589760571
LOC_Os01g10790.1,1,0.589760571
LOC_Os06g37020.1,1,0.589760571
LOC_Os02g34500.1,1,0.589760571
LOC_Os03g09170.1,1,0.589760571
LOC_Os07g32730.1,1,0.589760571
LOC_Os07g11290.1,1,0.589760571
LOC_Os10g33530.1,1,0.589760571
LOC_Os06g42640.3,1,0.589760571
LOC_Os03g26860.1,1,0.589760571
LOC_Os07g15970.1,1,0.589760571
LOC_Os04g55700.1,1,0.589760571
LOC_Os10g10434.1,1,0.589760571
LOC_Os04g52840.1,1,0.589760571
LOC_Os12g42100.1,1,0.589760571
LOC_Os01g53450.2,1,0.589760571
LOC_Os12g39620.1,1,0.589760571
LOC_Os10g41100.1,1,0.589760571
LOC_Os04g57350.1,1,0.589760571
LOC_Os01g40670.1,1,0.589760571
LOC_Os12g44100.1,1,0.589760571
LOC_Os02g09340.1,1,0.589760571
LOC_Os11g23170.1,1,0.589760571
LOC_Os01g50860.1,1,0.589760571
LOC_Os01g57870.2,1,0.589760571
LOC_Os01g70820.1,1,0.589760571
LOC_Os11g31500.1,1,0.589760571
LOC_Os01g54960.1,1,0.589760571
LOC_Os07g27180.1,1,0.589760571
LOC_Os02g42590.2,1,0.589760571
LOC_Os02g42920.1,1,0.589760571
LOC_Os06g47950.1,1,0.589760571
LOC_Os07g08210.1,1,0.589760571
LOC_Os11g18340.1,1,0.589760571
LOC_Os03g13770.1,1,0.589760571
LOC_Os06g40590.1,1,0.589760571
LOC_Os06g15020.1,1,0.589760571
LOC_Os11g30560.1,1,0.589760571
LOC_Os04g02780.1,1,0.589760571
LOC_Os01g17214.1,1,0.589760571
LOC_Os10g39820.1,1,0.589760571
LOC_Os12g03860.3,1,0.589760571
LOC_Os02g26850.1,1,0.589760571
LOC_Os02g10780.1,1,0.589760571
LOC_Os03g58630.1,1,0.589760571
LOC_Os06g39912.1,1,0.589760571
LOC_Os03g10820.1,1,0.589760571
LOC_Os03g43990.2,1,0.589760571
LOC_Os09g36240.1,1,0.589760571
LOC_Os08g39980.1,1,0.589760571
LOC_Os02g48780.1,1,0.589760571
LOC_Os08g10740.1,1,0.589760571
LOC_Os02g27440.3,1,0.589760571
LOC_Os06g37080.1,1,0.589760571
LOC_Os03g44430.1,1,0.589760571
LOC_Os10g33210.1,1,0.589760571
LOC_Os03g50120.1,1,0.589760571
LOC_Os04g39170.2,1,0.589760571
LOC_Os02g47900.1,1,0.589760571
LOC_Os03g17050.1,1,0.589760571
LOC_Os02g09400.1,1,0.589760571
LOC_Os04g58720.1,1,0.589760571
LOC_Os01g40720.1,1,0.589760571
LOC_Os10g32060.1,1,0.589760571
LOC_Os09g30478.1,1,0.589760571
LOC_Os08g04300.1,1,0.589760571
LOC_Os03g12680.1,1,0.589760571
LOC_Os02g37920.1,1,0.589760571
LOC_Os03g02680.3,1,0.589760571
LOC_Os07g48370.1,1,0.589760571
LOC_Os05g05300.1,1,0.589760571
LOC_Os10g01380.1,1,0.589760571
LOC_Os07g42354.1,1,0.589760571
LOC_Os05g23940.1,1,0.589760571
LOC_Os01g66720.1,1,0.589760571
LOC_Os05g48600.1,1,0.589760571
LOC_Os03g44300.1,1,0.589760571
LOC_Os05g45090.1,1,0.589760571
LOC_Os02g18870.1,1,0.589760571
LOC_Os09g37720.1,1,0.589760571
LOC_Os12g43890.1,1,0.589760571
LOC_Os12g06560.1,1,0.589760571
LOC_Os02g36924.1,1,0.589760571
LOC_Os03g13450.2,1,0.589760571
LOC_Os03g58930.1,1,0.589760571
LOC_Os09g36530.2,1,0.589760571
LOC_Os01g28500.1,1,0.589760571
LOC_Os05g25880.1,1,0.589760571
LOC_Os05g48010.1,1,0.589760571
LOC_Os02g36520.1,1,0.589760571
LOC_Os01g47420.1,1,0.589760571
LOC_Os05g44070.1,1,0.589760571
LOC_Os11g04104.3,1,0.589760571
LOC_Os01g67960.1,1,0.589760571
LOC_Os01g67100.1,1,0.589760571
LOC_Os03g52760.1,1,0.589760571
LOC_Os09g27660.1,1,0.589760571
LOC_Os02g41710.1,1,0.589760571
LOC_Os06g29220.1,1,0.589760571
LOC_Os09g02130.1,1,0.589760571
LOC_Os02g18480.1,1,0.589760571
LOC_Os01g72260.1,1,0.589760571
LOC_Os03g49630.1,1,0.589760571
LOC_Os01g69070.1,1,0.589760571
LOC_Os09g39970.1,1,0.589760571
LOC_Os06g45640.1,1,0.589760571
LOC_Os10g37160.1,1,0.589760571
LOC_Os09g07670.1,1,0.589760571
LOC_Os01g07720.4,1,0.589760571
LOC_Os01g32280.1,1,0.589760571
LOC_Os01g44069.1,1,0.589760571
LOC_Os12g05640.1,1,0.589760571
LOC_Os08g12890.1,1,0.589760571
LOC_Os11g06690.1,1,0.589760571
LOC_Os07g46330.1,1,0.589760571
LOC_Os07g27810.1,1,0.589760571
LOC_Os01g63990.6,1,0.589760571
LOC_Os05g49160.1,1,0.589760571
LOC_Os09g23740.1,1,0.589760571
LOC_Os03g03290.1,1,0.589760571
LOC_Os10g24900.1,1,0.589760571
LOC_Os05g46570.1,1,0.589760571
LOC_Os04g50060.2,1,0.589760571
LOC_Os10g34660.1,1,0.589760571
LOC_Os07g31140.1,1,0.589760571
LOC_Os09g04550.1,1,0.589760571
LOC_Os01g58640.1,1,0.589760571
LOC_Os05g03610.1,1,0.589760571
LOC_Os03g08390.1,1,0.589760571
LOC_Os10g33630.1,1,0.589760571
LOC_Os03g63240.1,1,0.589760571
LOC_Os08g19170.1,1,0.589760571
LOC_Os03g08020.1,1,0.589760571
LOC_Os10g28200.2,1,0.589760571
LOC_Os01g66940.1,1,0.589760571
LOC_Os01g43520.1,1,0.589760571
LOC_Os05g51530.1,1,0.589760571
LOC_Os09g30418.1,1,0.589760571
LOC_Os03g52840.2,1,0.589760571
LOC_Os04g55230.1,1,0.589760571
LOC_Os02g57710.1,1,0.589760571
LOC_Os01g22336.1,1,0.589760571
LOC_Os03g05980.2,1,0.589760571
LOC_Os01g72880.1,1,0.589760571
LOC_Os07g04240.1,1,0.589760571
LOC_Os03g22730.1,1,0.589760571
LOC_Os02g32490.2,1,0.589760571
LOC_Os02g26650.3,1,0.589760571
LOC_Os04g44060.1,1,0.589760571
LOC_Os01g40470.1,1,0.589760571
LOC_Os01g65080.1,1,0.589760571
LOC_Os07g01760.1,1,0.589760571
LOC_Os09g32650.1,1,0.589760571
LOC_Os12g24080.1,1,0.589760571
LOC_Os01g65320.1,1,0.589760571
LOC_Os05g26180.1,1,0.589760571
LOC_Os08g15306.1,1,0.589760571
LOC_Os06g50380.2,1,0.589760571
LOC_Os01g51410.2,1,0.589760571
LOC_Os06g45500.1,1,0.589760571
LOC_Os12g05900.2,1,0.589760571
LOC_Os05g31290.1,1,0.589760571
LOC_Os09g25090.1,1,0.589760571
LOC_Os01g53680.1,1,0.589760571
LOC_Os05g36910.1,1,0.589760571
LOC_Os02g11830.2,1,0.589760571
LOC_Os06g45840.1,1,0.589760571
LOC_Os12g32992.1,1,0.589760571
LOC_Os02g51620.1,1,0.589760571
LOC_Os09g07500.2,1,0.589760571
LOC_Os09g36220.1,1,0.589760571
LOC_Os10g30610.1,1,0.589760571
LOC_Os02g35630.1,1,0.589760571
LOC_Os03g52660.1,1,0.589760571
LOC_Os03g51080.1,1,0.589760571
LOC_Os09g24260.1,1,0.589760571
LOC_Os06g12310.1,1,0.589760571
LOC_Os01g40070.1,1,0.589760571
LOC_Os12g40560.1,1,0.589760571
LOC_Os10g35550.1,1,0.589760571
LOC_Os01g20860.1,1,0.589760571
LOC_Os08g31580.1,1,0.589760571
LOC_Os01g25484.1,1,0.589760571
LOC_Os02g51780.1,1,0.589760571
LOC_Os08g36500.1,1,0.589760571
LOC_Os02g41860.1,1,0.589760571
LOC_Os03g20949.1,1,0.589760571
LOC_Os09g35790.3,1,0.589760571
LOC_Os09g03420.1,1,0.589760571
LOC_Os08g12300.1,1,0.589760571
LOC_Os01g40620.2,1,0.589760571
LOC_Os01g27550.1,1,0.589760571
LOC_Os12g33950.1,1,0.589760571
LOC_Os11g03820.1,1,0.589760571
LOC_Os06g46434.1,1,0.589760571
LOC_Os01g18744.1,1,0.589760571
LOC_Os02g28020.1,1,0.589760571
LOC_Os12g07140.1,0.041820176,0.333881894
LOC_Os09g26420.5,0.041820176,0.333881894
LOC_Os02g11760.1,-0.710493383,0.576261019
LOC_Os04g33830.1,-0.710493383,0.576261019
LOC_Os09g03620.1,-0.710493383,0.576261019
LOC_Os03g22380.1,-0.710493383,0.576261019
LOC_Os01g72980.1,-0.710493383,0.576261019
LOC_Os04g53690.2,-0.710493383,0.576261019
LOC_Os03g57300.2,-0.836501268,0.334260306
LOC_Os07g19530.1,-0.836501268,0.334260306
LOC_Os02g33610.2,-0.106915204,0.576733403
LOC_Os08g02640.4,0.115477217,0.321146687
LOC_Os03g38020.1,0.115477217,0.321146687
LOC_Os08g22354.2,0.115477217,0.321146687
LOC_Os10g32880.1,-0.096215315,0.604624797
LOC_Os01g35050.1,-0.096215315,0.604624797
LOC_Os03g15900.2,-0.096215315,0.604624797
LOC_Os06g24704.1,-0.096215315,0.604624797
LOC_Os09g29810.1,0.192645078,0.606134926
LOC_Os01g01510.2,0.192645078,0.606134926
LOC_Os04g59570.1,0.192645078,0.606134926
LOC_Os10g32960.1,0.192645078,0.606134926
LOC_Os10g21192.1,0.192645078,0.606134926
LOC_Os05g03820.3,0.192645078,0.606134926
LOC_Os09g32740.1,0.192645078,0.606134926
LOC_Os01g73410.1,0.192645078,0.606134926
LOC_Os12g04520.1,0.192645078,0.606134926
LOC_Os05g41480.1,0.192645078,0.606134926
LOC_Os01g67134.1,0.192645078,0.606134926
LOC_Os02g03450.1,0.192645078,0.606134926
LOC_Os08g40550.1,0.192645078,0.606134926
LOC_Os06g48700.1,0.192645078,0.606134926
LOC_Os04g32270.1,0.192645078,0.606134926
LOC_Os08g13930.2,0.192645078,0.606134926
LOC_Os10g38850.1,0.192645078,0.606134926
LOC_Os04g23820.1,0.192645078,0.606134926
LOC_Os10g30100.1,0.192645078,0.606134926
LOC_Os03g46340.1,0.192645078,0.606134926
LOC_Os02g36340.2,0.192645078,0.606134926
LOC_Os02g39830.1,0.192645078,0.606134926
LOC_Os03g12470.1,0.192645078,0.606134926
LOC_Os08g31810.2,0.192645078,0.606134926
LOC_Os12g10900.1,0.192645078,0.606134926
LOC_Os01g45190.1,0,0.335391335
LOC_Os08g13690.1,-0.146841388,0.57883791
LOC_Os07g44710.1,-0.561878888,0.578788784
LOC_Os08g33830.2,-0.561878888,0.578788784
LOC_Os01g67860.1,-0.152003093,0.607243546
LOC_Os12g40520.1,0,0.605885942
LOC_Os03g12450.1,0,0.605885942
LOC_Os10g42100.1,0,0.605885942
LOC_Os08g37610.1,0,0.605885942
LOC_Os04g52000.1,0,0.605885942
LOC_Os12g14070.1,-0.539158811,0.336337602
LOC_Os08g41460.8,-0.028014376,0.323781588
LOC_Os02g50270.1,-0.054447784,0.58115405
LOC_Os04g58110.1,-0.054447784,0.58115405
LOC_Os05g43252.2,0.222392421,0.582502865
LOC_Os01g41640.1,0.222392421,0.582502865
LOC_Os06g14406.1,0.222392421,0.582502865
LOC_Os08g07400.1,0.222392421,0.582502865
LOC_Os07g11000.1,0.222392421,0.582502865
LOC_Os03g13810.1,0.222392421,0.582502865
LOC_Os11g38800.1,0.222392421,0.582502865
LOC_Os01g70520.1,0.222392421,0.582502865
LOC_Os01g38530.1,0.222392421,0.582502865
LOC_Os02g45650.1,0.222392421,0.582502865
LOC_Os06g08005.1,0.222392421,0.582502865
LOC_Os09g06499.2,0.222392421,0.582502865
LOC_Os07g40550.1,0.222392421,0.582502865
LOC_Os09g38340.3,0.222392421,0.582502865
LOC_Os05g41240.1,0.222392421,0.582502865
LOC_Os12g31640.2,0.222392421,0.582502865
LOC_Os10g40740.1,0.222392421,0.582502865
LOC_Os06g03676.1,0.222392421,0.582502865
LOC_Os01g56490.1,0.222392421,0.582502865
LOC_Os02g47350.1,0.222392421,0.582502865
LOC_Os08g17370.1,0.222392421,0.582502865
LOC_Os04g41260.1,0.222392421,0.582502865
LOC_Os07g44940.1,0.222392421,0.582502865
LOC_Os10g40600.1,0.222392421,0.582502865
LOC_Os02g47620.1,0.222392421,0.582502865
LOC_Os01g64520.2,0.222392421,0.582502865
LOC_Os11g04950.1,0.222392421,0.582502865
LOC_Os03g42880.1,0.222392421,0.582502865
LOC_Os04g56110.1,0.222392421,0.582502865
LOC_Os02g05490.1,0.222392421,0.582502865
LOC_Os07g31400.1,0.222392421,0.582502865
LOC_Os03g13100.1,0.222392421,0.582502865
LOC_Os05g06690.1,0.222392421,0.582502865
LOC_Os09g02284.1,0.222392421,0.582502865
LOC_Os04g54870.2,0.222392421,0.582502865
LOC_Os06g39640.1,0.222392421,0.582502865
LOC_Os09g29470.3,0.222392421,0.582502865
LOC_Os07g26920.1,0.222392421,0.582502865
LOC_Os06g19390.1,0.222392421,0.582502865
LOC_Os01g35184.2,0.222392421,0.582502865
LOC_Os06g05680.1,0.222392421,0.582502865
LOC_Os02g13530.1,-1.137503524,0.323708633
LOC_Os04g30880.1,-1.137503524,0.323708633
LOC_Os02g14780.2,-1.137503524,0.323708633
LOC_Os11g05540.1,-1.137503524,0.323708633
LOC_Os05g05160.1,-1.137503524,0.323708633
LOC_Os01g38950.1,-1.137503524,0.323708633
LOC_Os09g38970.1,-1.137503524,0.323708633
LOC_Os12g28270.2,-1.137503524,0.323708633
LOC_Os01g01080.2,-1.137503524,0.323708633
LOC_Os02g04440.2,-1.137503524,0.323708633
LOC_Os03g21490.1,-1.137503524,0.323708633
LOC_Os01g47450.1,-1.137503524,0.323708633
LOC_Os02g07060.1,-1.137503524,0.323708633
LOC_Os02g42540.1,-1.137503524,0.323708633
LOC_Os10g30054.2,-1.137503524,0.323708633
LOC_Os12g41250.1,-1.137503524,0.323708633
LOC_Os08g37444.4,-0.671377253,0.337178068
LOC_Os02g18090.1,1.584962501,0.330834119
LOC_Os04g32930.1,1.584962501,0.330834119
LOC_Os05g01940.1,1.584962501,0.330834119
LOC_Os04g37720.1,1.584962501,0.330834119
LOC_Os10g38150.1,1.584962501,0.330834119
LOC_Os04g44420.1,1.584962501,0.330834119
LOC_Os01g24480.1,1.584962501,0.330834119
LOC_Os08g03579.2,1.584962501,0.330834119
LOC_Os05g46340.1,1.584962501,0.330834119
LOC_Os07g42632.3,1.584962501,0.330834119
LOC_Os04g20880.1,1.584962501,0.330834119
LOC_Os02g37090.1,1.584962501,0.330834119
LOC_Os10g43060.1,1.584962501,0.330834119
LOC_Os08g31940.1,1.584962501,0.330834119
LOC_Os04g40900.1,1.584962501,0.330834119
LOC_Os01g02100.4,1.584962501,0.330834119
LOC_Os12g01530.3,1.584962501,0.330834119
LOC_Os12g31490.1,1.584962501,0.330834119
LOC_Os04g38970.1,1.584962501,0.330834119
LOC_Os04g10420.1,1.584962501,0.330834119
LOC_Os03g42010.2,1.584962501,0.330834119
LOC_Os02g52990.1,1.584962501,0.330834119
LOC_Os03g37330.1,1.584962501,0.330834119
LOC_Os05g45850.1,1.584962501,0.330834119
LOC_Os09g31025.1,1.584962501,0.330834119
LOC_Os01g61760.3,1.584962501,0.330834119
LOC_Os09g27050.1,1.584962501,0.330834119
LOC_Os02g37430.1,1.584962501,0.330834119
LOC_Os06g19640.1,1.584962501,0.330834119
LOC_Os09g16330.2,1.584962501,0.330834119
LOC_Os03g44670.1,1.584962501,0.330834119
LOC_Os12g02094.1,1.584962501,0.330834119
LOC_Os02g55130.5,1.584962501,0.330834119
LOC_Os04g51960.1,1.584962501,0.330834119
LOC_Os06g26270.1,1.584962501,0.330834119
LOC_Os08g33720.1,1.584962501,0.330834119
LOC_Os04g32550.1,1.584962501,0.330834119
LOC_Os06g16290.1,1.584962501,0.330834119
LOC_Os07g41630.1,1.584962501,0.330834119
LOC_Os10g40570.1,1.584962501,0.330834119
LOC_Os03g27800.1,1.584962501,0.330834119
LOC_Os07g38090.2,1.584962501,0.330834119
LOC_Os09g32560.1,1.584962501,0.330834119
LOC_Os02g44770.1,1.584962501,0.330834119
LOC_Os05g22730.1,1.584962501,0.330834119
LOC_Os09g35910.1,1.584962501,0.330834119
LOC_Os05g48260.1,1.584962501,0.330834119
LOC_Os01g42980.2,1.584962501,0.330834119
LOC_Os04g42480.1,1.584962501,0.330834119
LOC_Os04g58190.2,1.584962501,0.330834119
LOC_Os02g47000.1,1.584962501,0.330834119
LOC_Os04g39560.3,1.584962501,0.330834119
LOC_Os08g29590.1,1.584962501,0.330834119
LOC_Os02g06540.1,1.584962501,0.330834119
LOC_Os03g57880.3,1.584962501,0.330834119
LOC_Os04g33510.2,1.584962501,0.330834119
LOC_Os03g18550.2,1.584962501,0.330834119
LOC_Os02g13770.1,1.584962501,0.330834119
LOC_Os07g33330.1,1.584962501,0.330834119
LOC_Os02g04750.3,1.584962501,0.330834119
LOC_Os10g41450.1,1.584962501,0.330834119
LOC_Os09g06910.1,1.584962501,0.330834119
LOC_Os10g35770.1,1.584962501,0.330834119
